Module;Name;
k_ary_n_mesh.host[26];Latengy:max;0.0009482
k_ary_n_mesh.host[26];Throughput:count;1
k_ary_n_mesh.host[26];Throughput:mean;6.80E+06
k_ary_n_mesh.host[26];Throughput:stddev;NaN
k_ary_n_mesh.host[26];Throughput:sum;6.80E+06
k_ary_n_mesh.host[26];Throughput:sqrsum;4.63E+13
k_ary_n_mesh.host[26];Throughput:min;6.80E+06
k_ary_n_mesh.host[26];Throughput:max;6.80E+06
k_ary_n_mesh.host[27];Latengy:count;1012
k_ary_n_mesh.host[27];Latengy:mean;0.0001548
k_ary_n_mesh.host[27];Latengy:stddev;0.000155293
k_ary_n_mesh.host[27];Latengy:sum;0.156658
k_ary_n_mesh.host[27];Latengy:sqrsum;4.86E-05
k_ary_n_mesh.host[27];Latengy:min;1.33E-07
k_ary_n_mesh.host[27];Latengy:max;0.000801116
k_ary_n_mesh.host[27];Throughput:count;1
k_ary_n_mesh.host[27];Throughput:mean;7.01E+06
k_ary_n_mesh.host[27];Throughput:stddev;NaN
k_ary_n_mesh.host[27];Throughput:sum;7.01E+06
k_ary_n_mesh.host[27];Throughput:sqrsum;4.91E+13
k_ary_n_mesh.host[27];Throughput:min;7.01E+06
k_ary_n_mesh.host[27];Throughput:max;7.01E+06
k_ary_n_mesh.host[28];Latengy:count;999
k_ary_n_mesh.host[28];Latengy:mean;0.00015511
k_ary_n_mesh.host[28];Latengy:stddev;0.000161851
k_ary_n_mesh.host[28];Latengy:sum;0.154955
k_ary_n_mesh.host[28];Latengy:sqrsum;5.02E-05
k_ary_n_mesh.host[28];Latengy:min;1.48E-07
k_ary_n_mesh.host[28];Latengy:max;0.000962239
k_ary_n_mesh.host[28];Throughput:count;1
k_ary_n_mesh.host[28];Throughput:mean;6.92E+06
k_ary_n_mesh.host[28];Throughput:stddev;NaN
k_ary_n_mesh.host[28];Throughput:sum;6.92E+06
k_ary_n_mesh.host[28];Throughput:sqrsum;4.79E+13
